"UniversalName","Strain","VectorBorne","Vector","OtherTaxonomicInfo","Reference_Reservoir","Reference_Vector","LatestSppName","HumanOnly","IndirectDetectionOnly","Reference","DataSource","Reservoir","Accessions","WholeGenome","InfectsHumans"
"Marburg marburgvirus","Marburg marburgvirus",0,NA,NA,NA,NA,"Marburg marburgvirus",FALSE,FALSE,"Kuzmin et al. 2010; 4974179; 10024977; http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1000536","Olival2017; Woolhouse2018; Internal","Pterobat","NC_001608.3",1,TRUE
"Marituba orthobunyavirus","Marituba orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Marituba orthobunyavirus",FALSE,FALSE,"Causey et al. 1961; 13691675; 24633174","Olival2017; Woolhouse2018","Orphan","NC_034495.1; NC_034504.1; NC_034496.1",1,TRUE
"Mason-Pfizer monkey virus","Mason-Pfizer monkey virus",0,NA,"Automatic match",NA,NA,"Mason-Pfizer monkey virus",FALSE,NA,"","Olival2017; Woolhouse2018","NonHumanPrimate","NC_001550.1",1,FALSE
"Mayaro virus","Mayaro virus",1,"Mosquito",NA,NA,NA,"Mayaro virus",FALSE,FALSE,"Anderson et al. 1957; 13487973; 9037738; http://cid.oxfordjournals.org/content/28/1/67.short","Olival2017; Woolhouse2018; Internal","Orphan","NC_003417.1",1,TRUE
"Measles morbillivirus","Measles virus",0,NA,NA,NA,NA,"Measles morbillivirus",FALSE,FALSE,"Ito et al. 2010; ; Available from external site; 18568081; 24929750","Woolhouse2018","Human","NC_001498.1",1,TRUE
"Menangle rubulavirus","Menangle virus",0,NA,NA,NA,NA,"Menangle pararubulavirus",FALSE,FALSE,"; Philbey et al. 1998; ","Olival2017; Internal","Pterobat","NC_007620.1",1,TRUE
"Merino Walk mammarenavirus","Merino Walk virus",0,NA,NA,NA,NA,"Merino Walk mammarenavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Rodent","NC_023763.1; NC_023764.1",1,FALSE
"Mesocricetus auratus polyomavirus 1","Mesocricetus auratus polyomavirus 1",0,NA,NA,NA,NA,"Mesocricetus auratus polyomavirus 1",FALSE,NA,"","Olival2017","Rodent","NC_001663.2",1,FALSE
"Middelburg virus","Middelburg virus",1,"Mosquito",NA,NA,NA,"Middelburg virus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Orphan","NC_024887.1",1,FALSE
"Middle East respiratory syndrome-related coronavirus","Middle East respiratory syndrome coronavirus",0,NA,NA,NA,NA,"Middle East respiratory syndrome-related coronavirus",FALSE,FALSE,"23075143; 28653496; ","Woolhouse2018; Internal","Orphan","NC_019843.3",1,TRUE
"Miniopterus bat coronavirus HKU8","Miniopterus bat coronavirus HKU8",0,NA,NA,NA,NA,"Miniopterus bat coronavirus HKU8",FALSE,FALSE,"NA","Woolhouse2018; Internal","Vespbat","NC_010438.1",1,FALSE
"Mischivirus A","Miniopterus schreibersii picornavirus 1",0,NA,NA,NA,NA,"Mischivirus A",FALSE,FALSE,"NA","Woolhouse2018; Internal","Vespbat","NC_034381.1",1,FALSE
"Mischivirus C","African bat icavirus A",0,NA,NA,NA,NA,"Mischivirus C",FALSE,FALSE,"NA","Woolhouse2018; Internal","Pterobat","NC_026470.1",1,FALSE
"Mobala mammarenavirus","Mobala virus",0,NA,NA,NA,NA,"Mobala mammarenavirus",FALSE,TRUE,"NA; 2986324; 26982388","Woolhouse2018","Rodent","NC_007904.1; NC_007903.1",1,FALSE
"Modoc virus","Modoc virus",0,NA,NA,NA,NA,"Modoc virus",FALSE,TRUE,"NA; Zarnke & Yuill 1985","Olival2017","Rodent","NC_003635.1",1,FALSE
"Mojiang henipavirus","Mojiang virus",0,NA,NA,NA,NA,"Mojiang henipavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Rodent","NC_025352.1",1,FALSE
"Mokola lyssavirus","Mokola virus",0,NA,NA,NA,NA,"Mokola lyssavirus",FALSE,FALSE,"Familusi et al. 1972; 4635777; 4772939; ","Olival2017; Woolhouse2018; Internal","Orphan","NC_006429.1",1,TRUE
"Molluscum contagiosum virus","Molluscum contagiosum virus",0,NA,"Automatic match",NA,NA,"Molluscum contagiosum virus",FALSE,FALSE,"Trama et al. 2007","Olival2017","Human","NC_001731.1",1,TRUE
"Moloney murine sarcoma virus","Moloney murine sarcoma virus",0,NA,"Automatic match",NA,NA,"Moloney murine sarcoma virus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","NC_001502.1",1,FALSE
"Monkeypox virus","Monkeypox virus",0,NA,"Automatic match",NA,NA,"Monkeypox virus",FALSE,FALSE,"Hutson et al. 2007","Olival2017","Rodent","NC_003310.1",1,TRUE
"Montana myotis leukoencephalitis virus","Montana myotis leukoencephalitis virus",0,NA,NA,NA,NA,"Montana myotis leukoencephalitis virus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Vespbat","NC_004119.1",1,FALSE
"Mopeia mammarenavirus","Mopeia virus",0,NA,NA,NA,NA,"Mopeia mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_006574.1; NC_006575.1",1,FALSE
"Mosso das Pedras virus","Mosso das Pedras virus",1,"Mosquito",NA,NA,NA,"Mosso das Pedras virus",FALSE,FALSE,"Attoui et al. 2007; 24349588; 17947533","Olival2017; Woolhouse2018","Orphan","AF075257.1",1,TRUE
"Mount Elgon bat ledantevirus","Mount Elgon bat ledantevirus",NA,NA,"Automatic match",NA,NA,"Mount Elgon bat ledantevirus",FALSE,NA,"","Olival2017; Woolhouse2018","Orphan","NC_034545.1",1,FALSE
"Mouse mammary tumor virus","Mouse mammary tumor virus",0,NA,"Automatic match",NA,NA,"Mouse mammary tumor virus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","NC_001503.1",1,FALSE
"Moussa virus","Moussa virus",1,"Mosquito",NA,NA,NA,"Moussa virus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025359.1",1,FALSE
"Mucambo virus","Mucambo virus",1,"Mosquito","Automatic match",NA,NA,"Mucambo virus",FALSE,FALSE,"; 14292756; 17947533","Woolhouse2018","Rodent","AF075253.1",1,TRUE
"Mumps rubulavirus","Mumps virus",0,NA,NA,NA,NA,"Mumps orthorubulavirus",TRUE,FALSE,"Krajden et al. 2011; 19870227; 28068914; ","Olival2017; Woolhouse2018; Internal","Human","NC_002200.1",1,TRUE
"Munia coronavirus HKU13","Munia coronavirus HKU13",0,NA,NA,"woo2009",NA,"Munia coronavirus HKU13",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_011550.1",1,FALSE
"Mupapillomavirus 1","Mupapillomavirus 1",0,NA,NA,NA,NA,"Mupapillomavirus 1",FALSE,FALSE,"Gissman et al. 1977","Olival2017","Human","NC_001356.1",1,TRUE
"Mupapillomavirus 2","Mupapillomavirus 2",0,NA,NA,NA,NA,"Mupapillomavirus 2",FALSE,FALSE,"Egawa et al. 1993","Olival2017","Human","NC_001458.1",1,TRUE
"Murid betaherpesvirus 1","Murid betaherpesvirus 1",0,NA,NA,NA,NA,"Murid betaherpesvirus 1",FALSE,NA,"","Olival2017","Rodent","NC_004065.1",1,FALSE
"Murid betaherpesvirus 2","Murid betaherpesvirus 2",0,NA,NA,NA,NA,"Murid betaherpesvirus 2",FALSE,NA,"","Olival2017","Rodent","NC_002512.2",1,FALSE
"Murid gammaherpesvirus 4","Murid gammaherpesvirus 4",0,NA,NA,NA,NA,"Murid gammaherpesvirus 4",FALSE,NA,"","Olival2017","Rodent","NC_001826.2",1,FALSE
"Murine coronavirus","Rat coronavirus",0,NA,"Merged",NA,NA,"Murine coronavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_012936.1",1,FALSE
"Murine leukemia virus","Murine leukemia virus",0,NA,"Automatic match",NA,NA,"Murine leukemia virus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","NC_001501.1",1,FALSE
"Murine mastadenovirus A","Murine mastadenovirus A",0,NA,NA,NA,NA,"Murine mastadenovirus A",FALSE,NA,"","Olival2017","Rodent","NC_000942.1",1,FALSE
"Murine mastadenovirus B","Murine mastadenovirus B",0,NA,NA,NA,NA,"Murine mastadenovirus B",FALSE,NA,"","Olival2017","Rodent","NC_014899.1",1,FALSE
"Murine orthopneumovirus","Murine pneumonia virus",0,NA,NA,NA,NA,"Murine orthopneumovirus",FALSE,TRUE,"NA; Pringle & Eglin 1986","Olival2017","Rodent","NC_006579.1",1,FALSE
"Murine respirovirus","Sendai virus",0,NA,NA,NA,NA,"Murine respirovirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_001552.1",1,FALSE
"Murray Valley encephalitis virus","Murray Valley encephalitis virus",1,"Mosquito",NA,"mackenzie1994",NA,"Murray Valley encephalitis virus",FALSE,FALSE,"Broom et al. 2000; 14909902; 6299259; http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-8-1867#tab2","Olival2017; Woolhouse2018; Internal","Pelecaniformes","NC_000943.1",1,TRUE
"Mus musculus polyomavirus 1","Mus musculus polyomavirus 1",0,NA,NA,NA,NA,"Mus musculus polyomavirus 1",FALSE,NA,"","Olival2017","Rodent","NC_001515.2",1,FALSE
"Mus musculus polyomavirus 2","Mus musculus polyomavirus 2",0,NA,NA,NA,NA,"Mus musculus polyomavirus 2",FALSE,NA,"","Olival2017","Rodent","NC_001505.2",1,FALSE
"Mustelid gammaherpesvirus 1","Mustelid gammaherpesvirus 1",0,NA,NA,NA,NA,"Mustelid gammaherpesvirus 1",FALSE,NA,"","Olival2017","Carnivore","AF376034.1",0,FALSE
"Myxoma virus","Myxoma virus",0,NA,"Automatic match",NA,NA,"Myxoma virus",FALSE,NA,"","Olival2017","Lagomorph","NC_001132.2",1,FALSE
"Ndumu virus","Ndumu virus",1,"Mosquito",NA,NA,NA,"Ndumu virus",FALSE,TRUE,"NA; Kokernot et al. 1961; 13757662; 23006778","Olival2017; Woolhouse2018","Orphan","NC_016959.1",1,FALSE
"Nelson Bay orthoreovirus","Pulau reovirus",0,NA,"Automatic match",NA,NA,"Nelson Bay orthoreovirus",FALSE,FALSE,"; 17592121; 22905211","Woolhouse2018","Pterobat","JF342668.1; JF342666.1; JF342667.1; JF342669.1; JF342670.1; JF342671.1; AY357730.1; AY357731.1; AY357732.1; AY357733.1",1,TRUE
"New Jersey vesiculovirus","Vesicular stomatitis New Jersey virus",1,"Sandfly",NA,NA,NA,"New Jersey vesiculovirus",FALSE,FALSE,"Rodriguez et al. 2000; 14784641; 23034141; http://www.sciencedirect.com/science/article/pii/S1567134809000380","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_024473.1",1,TRUE
"Newbury-1 virus","Newbury-1 virus",0,NA,NA,NA,NA,"Newbury 1 virus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Artiodactyl","NC_007916.1",1,FALSE
"Ngaingan hapavirus","Ngaingan virus",1,"Midge",NA,NA,NA,"Ngaingan hapavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Macropod","NC_013955.1",1,FALSE
"Niakha sripuvirus","Niakha virus",1,"Sandfly",NA,NA,NA,"Niakha sripuvirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025405.1",1,FALSE
"Night heron coronavirus HKU19","Night-heron coronavirus HKU19",0,NA,NA,"woo2012a",NA,"Night heron coronavirus HKU19",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_016994.1",1,FALSE
"Nipah henipavirus","Nipah virus",0,NA,NA,NA,NA,"Nipah henipavirus",FALSE,FALSE,"Calisher et al. 2006; 10482278; 11243752; 23302882; ","Olival2017; Woolhouse2018; Internal","Pterobat","NC_002728.1",1,TRUE
"Northern cereal mosaic cytorhabdovirus","Northern cereal mosaic virus",1,"Planthopper",NA,NA,NA,"Northern cereal mosaic cytorhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Plant","NC_002251.1",1,FALSE
"Norwalk virus","Norovirus GI",0,NA,"Strain",NA,NA,"Norwalk virus",FALSE,FALSE,"; 4117963; 19796107; 22317811; ","Woolhouse2018; Internal","Human","NC_001959.2",1,TRUE
"Ntaya virus","Ntaya virus",1,"Mosquito",NA,NA,NA,"Ntaya virus",FALSE,FALSE,"Woodruff et al. 1978; 14946416; 28606155; http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-8-1867#tab2, Woolhouse 2013","Olival2017; Woolhouse2018; Internal","Orphan","NC_018705.3",1,TRUE
"Nupapillomavirus 1","Nupapillomavirus 1",0,NA,NA,NA,NA,"Nupapillomavirus 1",FALSE,FALSE,"Grimmel et al. 2006","Olival2017","Human","NC_001354.1",1,TRUE
"Nyando orthobunyavirus","Nyando orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Nyando orthobunyavirus",FALSE,FALSE,"Digoutte et al. 1972; 14292787; 28488954","Olival2017; Woolhouse2018",NA,"NC_034492.1; NC_034491.1; NC_034481.1",1,TRUE
"O'nyong-nyong virus","O'nyong-nyong virus",1,"Mosquito",NA,NA,NA,"Onyong-nyong virus",FALSE,FALSE,"Kiwanuka et al. 1999; 13785469; 10466973; http://www.sciencedirect.com/science/article/pii/S0042682298994375","Olival2017; Woolhouse2018; Internal","Orphan","NC_001512.1",1,TRUE
"Obodhiang ephemerovirus","Obodhiang virus",1,"Mosquito",NA,NA,NA,"Obodhiang ephemerovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_017685.1",1,FALSE
"Oita ledantevirus","Oita ledantevirus",NA,NA,"Automatic match",NA,NA,"Oita ledantevirus",FALSE,NA,"","Olival2017; Woolhouse2018","Orphan","NC_034548.1",1,FALSE
"Oliveros mammarenavirus","Oliveros virus",0,NA,NA,NA,NA,"Oliveros mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_010250.1; NC_010248.1",1,FALSE
"Omikronpapillomavirus 1","Omikronpapillomavirus 1",0,NA,NA,NA,NA,"Omikronpapillomavirus 1",FALSE,NA,"","Olival2017","Cetacean","JN709471.1",1,FALSE
"Omsk hemorrhagic fever virus","Omsk hemorrhagic fever virus",1,"Tick",NA,NA,NA,"Omsk hemorrhagic fever virus",FALSE,FALSE,"Dobler 2010; 18910918; 20850178; http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-8-1867#tab2","Olival2017; Woolhouse2018; Internal","Rodent","NC_005062.1",1,TRUE
"Orf virus","Orf virus",0,NA,"Automatic match",NA,NA,"Orf virus",FALSE,FALSE,"Peterkin 1937","Olival2017","Artiodactyl","NC_005336.1",1,TRUE
"Oriboca orthobunyavirus","Oriboca orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Oriboca orthobunyavirus",FALSE,FALSE,"Causey et al. 1961; 13691675; 16051848","Olival2017; Woolhouse2018",NA,"NC_034475.1; NC_034488.1; NC_034476.1",1,TRUE
"Oropouche orthobunyavirus","Oropouche virus",1,"Midge",NA,NA,NA,"Oropouche orthobunyavirus",FALSE,FALSE,"Nunes et al. 2005; 13683183; 20727376; http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2230091/pdf/molmed00033-0010.pdf","Olival2017; Woolhouse2018; Internal","Orphan","NC_005776.1; NC_005775.1; NC_005777.1",1,TRUE
"Orthohepevirus A","Hepatitis E virus, GT1",0,NA,"Strain",NA,NA,"Orthohepevirus A",FALSE,FALSE,"Al-Nasrawi et al. 2010; 6409836; 19697413; http://onlinelibrary.wiley.com/doi/10.1002/rmv.482/full","Olival2017; Woolhouse2018; Internal","Human","M73218.1",1,TRUE
"Orthohepevirus B","Avian hepatitis E virus",0,NA,NA,"purcell2008",NA,"Orthohepevirus B",FALSE,FALSE,"NA","Woolhouse2018; Internal","Galliformes","NC_023425.1",1,FALSE
"Orthohepevirus C","Hepatitis E virus rat",0,NA,"Strain",NA,NA,"Orthohepevirus C",FALSE,NA,"","Woolhouse2018","Rodent","GU345042.1",1,FALSE
"Orthohepevirus D","Bat hepevirus",0,NA,NA,NA,NA,"Orthohepevirus D",FALSE,FALSE,"NA","Woolhouse2018; Internal","Vespbat","NC_018382.1",1,FALSE
"Orungo virus","Orungo virus",1,"Midge","Automatic match",NA,NA,"Orungo virus",FALSE,FALSE,"Brown et al. 1991; 973798; 24475112","Olival2017; Woolhouse2018","Orphan","JQ610675.1; JQ610676.1; JQ610677.1; JQ610678.1; JQ610679.1; JQ610680.1; JQ610681.1; JQ610682.1; JQ610683.1; JQ610684.1",1,TRUE
"Oscivirus A","Oscivirus A1",0,NA,NA,"woo2010",NA,"Oscivirus A",FALSE,NA,"","Woolhouse2018","Passeriformes","NC_014412.1",1,FALSE
"Ovine atadenovirus D","Ovine atadenovirus D",0,NA,NA,NA,NA,"Ovine atadenovirus D",FALSE,NA,"","Olival2017","Artiodactyl","NC_004037.2",1,FALSE
"Ovine gammaherpesvirus 2","Ovine gammaherpesvirus 2",0,NA,NA,NA,NA,"Ovine gammaherpesvirus 2",FALSE,NA,"","Olival2017","Artiodactyl","NC_007646.1",1,FALSE
"Ovine mastadenovirus A","Ovine mastadenovirus A",0,NA,NA,NA,NA,"Ovine mastadenovirus A",FALSE,NA,"","Olival2017","Artiodactyl","NC_002513.1",1,FALSE
"Palyam virus","Palyam virus",NA,NA,"Automatic match",NA,NA,"Palyam virus",FALSE,FALSE,"; Aradaib et al. 2009","Olival2017","Artiodactyl","NC_005990.1; NC_005986.1; NC_005989.1; NC_005991.1; NC_005993.1; NC_005987.1; NC_005988.1; NC_005994.1; NC_005992.1; NC_005995.1",1,TRUE
"Panine betaherpesvirus 2","Panine betaherpesvirus 2",0,NA,NA,NA,NA,"Panine betaherpesvirus 2",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_003521.1",1,FALSE
"Panine gammaherpesvirus 1","Panine gammaherpesvirus 1",0,NA,NA,NA,NA,"Panine gammaherpesvirus 1",FALSE,NA,"","Olival2017","NonHumanPrimate","AJ581751.1",0,FALSE
"Papiine alphaherpesvirus 2","Papiine alphaherpesvirus 2",0,NA,NA,NA,NA,"Papiine alphaherpesvirus 2",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_007653.1",1,FALSE
"Papiine gammaherpesvirus 1","Papiine gammaherpesvirus 1",0,NA,NA,NA,NA,"Papiine gammaherpesvirus 1",FALSE,NA,"","Olival2017","NonHumanPrimate","AJ581750.1",0,FALSE
"Paraná mammarenavirus","Parana virus",0,NA,NA,NA,NA,"Paraguayan mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_010761.1; NC_010756.1",1,FALSE
"Parapoxvirus of red deer in New Zealand","Parapoxvirus of red deer in New Zealand",0,NA,"Automatic match",NA,NA,"Parapoxvirus of red deer in New Zealand",FALSE,NA,"","Olival2017","Artiodactyl","NC_025963.1",1,FALSE
"Parechovirus A","Parechovirus A",0,NA,NA,NA,NA,"Parechovirus A",FALSE,FALSE,"Ljubin-Sternak et al. 2011; 13538681; 11438028; 16220089","Olival2017; Woolhouse2018","Human","NC_001897.1",1,TRUE
"Parechovirus B","Parechovirus B",0,NA,NA,NA,NA,"Parechovirus B",FALSE,FALSE,"Niklasson et al. 2009; 12745669; 26489898","Olival2017; Woolhouse2018","Rodent","NC_003976.2",1,TRUE
"Patois orthobunyavirus","Patois orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Patois orthobunyavirus",FALSE,TRUE,"Scherer et al. 1972; 4400811; 3981","Olival2017; Woolhouse2018","Orphan","NC_043690.1; NC_043691.1; NC_043689.1",1,FALSE
"Pegivirus A","GB virus A",0,NA,"Strain",NA,NA,"Pegivirus A",TRUE,FALSE,"NA; 7475605; 22752515","Woolhouse2018","NonHumanPrimate","NC_001837.1",1,TRUE
"Pegivirus C","GB virus C",0,NA,NA,NA,NA,"Pegivirus C",FALSE,FALSE,"; http://www.ncbi.nlm.nih.gov/pubmed/21084497; Kao et al. 1999","Olival2017","Human","NC_001710.1",1,TRUE
"Pegivirus E","Equine pegivirus 1",0,NA,"Strain",NA,NA,"Pegivirus E",FALSE,FALSE,"NA","Woolhouse2018; Internal","Perissodactyla","NC_020902.1",1,FALSE
"Pegivirus H","Human pegivirus 2",0,NA,"Strain",NA,NA,"Pegivirus H",TRUE,FALSE,"; http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1005325","Internal","Human","NC_027998.2",1,TRUE
"Perch perhabdovirus","Perch rhabdovirus",0,NA,NA,NA,NA,"Perch perhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Fish","NC_020803.1",1,FALSE
"Perinet vesiculovirus","Perinet virus",1,"Mosquito",NA,NA,NA,"Perinet vesiculovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025394.1",1,FALSE
"Peruvian horse sickness virus","Peruvian horse sickness virus",1,"Mosquito","Automatic match",NA,NA,"Peruvian horse sickness virus",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_007748.1; NC_007749.1; NC_007750.1; NC_007751.1; NC_007755.1; NC_007752.1; NC_007756.1; NC_007754.1; NC_007753.1; NC_007757.1",1,FALSE
"Phnom Penh bat virus","Phnom Penh bat virus",0,NA,"Automatic match",NA,NA,"Phnom Penh bat virus",FALSE,NA,"","Olival2017; Woolhouse2018","Pterobat","NC_034007.1",1,FALSE
"Phocid alphaherpesvirus 1","Phocid alphaherpesvirus 1",0,NA,NA,NA,NA,"Phocid alphaherpesvirus 1",FALSE,NA,"","Olival2017","Carnivore","MH509440.2",1,FALSE
"Phocine morbillivirus","Phocine distemper virus",0,NA,NA,NA,NA,"Phocine morbillivirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Carnivore","NC_028249.1",1,FALSE
"Pichindé mammarenavirus","Pichinde arenavirus",0,NA,NA,NA,NA,"Cali mammarenavirus",FALSE,TRUE,"NA; Buchmeier et al. 1974; 4856825; 23552411","Olival2017; Woolhouse2018","Rodent","NC_006439.1; NC_006447.1",1,FALSE
"Pipapillomavirus 1","Pipapillomavirus 1",0,NA,NA,NA,NA,"Pipapillomavirus 1",FALSE,NA,"","Olival2017","Rodent","NC_022647.1",1,FALSE
"Pipistrellus bat coronavirus HKU5","Bat coronavirus HKU5",0,NA,NA,NA,NA,"Pipistrellus bat coronavirus HKU5",FALSE,FALSE,"NA","Woolhouse2018; Internal","Vespbat","NC_009020.1",1,FALSE
"Pirital mammarenavirus","Pirital virus",0,NA,NA,NA,NA,"Pirital mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_005897.1; NC_005894.1",1,FALSE
"Piry vesiculovirus","Piry vesiculovirus",NA,NA,"Automatic match",NA,NA,"Piry vesiculovirus",FALSE,FALSE,"Bergold & Munz 1970; 4604602; 4097557","Olival2017; Woolhouse2018",NA,"KU178986.1",1,TRUE
"Piscihepevirus A","Cutthroat trout virus",0,NA,NA,NA,NA,"Piscihepevirus A",FALSE,FALSE,"NA","Woolhouse2018; Internal","Fish","NC_015521.1",1,FALSE
"Piscine novirhabdovirus","Viral hemorrhagic septicemia virus",0,NA,NA,NA,NA,"Piscine novirhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Fish","NC_000855.1",1,FALSE
"Pixuna virus","Pixuna virus",1,"Mosquito","Automatic match",NA,NA,"Pixuna virus",FALSE,FALSE,"Pisano et al. 2013; 1844977; 19402767","Olival2017; Woolhouse2018","Rodent","AF075256.1",1,TRUE
"Pongine gammaherpesvirus 2","Pongine gammaherpesvirus 2",0,NA,NA,NA,NA,"Pongine gammaherpesvirus 2",FALSE,NA,"","Olival2017","NonHumanPrimate","AJ581753.1",0,FALSE
"Porcine circovirus 1","Porcine circovirus 1",0,NA,NA,NA,NA,"Porcine circovirus 1",FALSE,NA,"","Olival2017","Artiodactyl","NC_001792.2",1,FALSE
"Porcine circovirus 2","Porcine circovirus 2",0,NA,NA,NA,NA,"Porcine circovirus 2",FALSE,NA,"","Olival2017","Artiodactyl","NC_005148.1",1,FALSE
"Porcine epidemic diarrhea virus","Porcine epidemic diarrhea virus",0,NA,NA,NA,NA,"Porcine epidemic diarrhea virus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_003436.1",1,FALSE
"Porcine mastadenovirus A","Porcine mastadenovirus A",0,NA,NA,NA,NA,"Porcine mastadenovirus A",FALSE,NA,"","Olival2017","Artiodactyl","AC_000189.1",1,FALSE
"Porcine mastadenovirus B","Porcine mastadenovirus B",0,NA,NA,NA,NA,"Porcine mastadenovirus B",FALSE,NA,"","Olival2017","Artiodactyl","U25120.1",0,FALSE
"Porcine mastadenovirus C","Porcine mastadenovirus C",0,NA,NA,NA,NA,"Porcine mastadenovirus C",FALSE,NA,"","Olival2017","Artiodactyl","NC_002702.1",1,FALSE
"Porcine reproductive and respiratory syndrome virus 1","Porcine reproductive and respiratory syndrome virus 1",0,NA,NA,NA,NA,"Betaarterivirus suid 1",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","AF046869.1",1,FALSE
"Porcine respirovirus 1","Porcine parainfluenza virus 1",0,NA,NA,NA,NA,"Porcine respirovirus 1",FALSE,FALSE,"NA","Woolhouse2018; Internal","Artiodactyl","NC_025402.1",1,FALSE
"Porcine rubulavirus","Porcine rubulavirus",0,NA,NA,NA,NA,"Porcine orthorubulavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_009640.1",1,FALSE
"Porcine torovirus","Porcine torovirus",0,NA,NA,NA,NA,"Porcine torovirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_022787.1",1,FALSE
"Porcine type-C oncovirus","Porcine type-C oncovirus",0,NA,"Automatic match",NA,NA,"Porcine type-C oncovirus",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","GU980187.1",1,FALSE
"Potato yellow dwarf nucleorhabdovirus","Potato yellow dwarf virus",1,"Leafhopper",NA,NA,NA,"Potato yellow dwarf nucleorhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Plant","NC_016136.1",1,FALSE
"Powassan virus","Powassan virus",1,"Tick",NA,NA,NA,"Powassan virus",FALSE,FALSE,"McLean & Donohue 1959; 13652010; 20434750; Calisher, Charles H., and Ernest A. Gould. \Taxonomy of the virus family Flaviviridae.\ï_ê‘_ï_ê‘__Advances in virus researchï_ê‘_ï_ê‘__59 (2003): 1-20.","Olival2017; Woolhouse2018; Internal","Rodent","NC_003687.1",1,TRUE
"Primate erythroparvovirus 1","Primate erythroparvovirus 1",0,NA,NA,NA,NA,"Primate erythroparvovirus 1",FALSE,TRUE,"Opaleye et al. 2011","Olival2017","Human","NC_000883.2",1,TRUE
"Primate erythroparvovirus 2","Primate erythroparvovirus 2",0,NA,NA,NA,NA,"Primate erythroparvovirus 2",FALSE,TRUE,"Brown et al. 2004","Olival2017","NonHumanPrimate","U26342.1",0,FALSE
"Primate erythroparvovirus 3","Primate erythroparvovirus 3",0,NA,NA,NA,NA,"Primate erythroparvovirus 3",FALSE,NA,"","Olival2017","NonHumanPrimate","AF221122.1",0,FALSE
"Primate erythroparvovirus 4","Primate erythroparvovirus 4",0,NA,NA,NA,NA,"Primate erythroparvovirus 4",FALSE,NA,"","Olival2017","NonHumanPrimate","AF221123.1",0,FALSE
"Primate T-lymphotropic virus 1","Human T-lymphotropic virus 1",0,NA,"Automatic match",NA,NA,"Primate T-lymphotropic virus 1",FALSE,FALSE,"Wolfe et al. 2005; 6261256; 15911757","Olival2017; Woolhouse2018","Human","NC_001436.1",1,TRUE
