Babayan,Olival,Woolhouse,UniversalName,OtherTaxonomicInfo,Comments,Remove,RemoveComment,SppName_ICTV_MSL2018b
Avian paramyxovirus 4,,,Avian avulavirus 4,,,NA,,Avian paraavulavirus 4
Avian paramyxovirus 5,,,Avian avulavirus 5,,,NA,,Avian metaavulavirus 5
Avian paramyxovirus 6,,,Avian avulavirus 6,,,NA,,Avian metaavulavirus 6
Avian paramyxovirus 7,,,Avian avulavirus 7,,,NA,,Avian metaavulavirus 7
Avian paramyxovirus 8,,,Avian avulavirus 8,,,NA,,Avian metaavulavirus 8
Avian paramyxovirus 9,,,Avian avulavirus 9,,,NA,,Avian orthoavulavirus 9
Human parainfluenza virus 2,Human parainfluenza virus 2,Human rubulavirus 2 ,Human rubulavirus 2,,,NA,,Human orthorubulavirus 2
,Human parainfluenza virus 4,Human rubulavirus 4,Human rubulavirus 4,,,NA,,Human orthorubulavirus 4
Parainfluenza virus 5,Parainfluenza virus 5,,Mammalian rubulavirus 5,,Checked for duplication – data differs,NA,,Mammalian orthorubulavirus 5
,Simian virus 5,,Mammalian rubulavirus 5,,Checked for duplication – data differs,NA,,Mammalian orthorubulavirus 5
Mapuera virus,Mapuera virus,,Mapuera rubulavirus,,,NA,,Mapuera orthorubulavirus
Menangle virus,Menangle virus,,Menangle rubulavirus,,,NA,,Menangle pararubulavirus
Mumps virus,Mumps virus,Mumps rubulavirus ,Mumps rubulavirus,,,NA,,Mumps orthorubulavirus
Porcine rubulavirus,Porcine rubulavirus,,Porcine rubulavirus,,,NA,,Porcine orthorubulavirus
Simian virus 41,,Simian rubulavirus,Simian rubulavirus,,,NA,,Simian orthorubulavirus
Sosuga virus,,Sosuga rubulavirus,Sosuga rubulavirus,,,NA,,Sosuga pararubulavirus
Tioman virus,Tioman virus,Tioman rubulavirus,Tioman rubulavirus,,,NA,,Tioman pararubulavirus
Tuhoko virus 1,,,Tuhoko rubulavirus 1,,,NA,,Tuhoko pararubulavirus 1
Tuhoko virus 2,,,Tuhoko rubulavirus 2,,,NA,,Tuhoko pararubulavirus 2
Tuhoko virus 3,,,Tuhoko rubulavirus 3,,,NA,,Tuhoko pararubulavirus 3
Ndumu virus,Ndumu virus,Ndumu virus,Ndumu virus,,,NA,,Ndumu virus
,Nelson Bay orthoreovirus,Nelson Bay orthoreovirus,Nelson Bay orthoreovirus,Automatic match,,NA,,Nelson Bay orthoreovirus
Vesicular stomatitis New Jersey virus,Vesicular stomatitis New Jersey virus,New Jersey vesiculovirus ,New Jersey vesiculovirus,,,NA,,New Jersey vesiculovirus
Newbury-1 virus,,,Newbury-1 virus,,,NA,,Newbury 1 virus
Ngaingan virus,,,Ngaingan hapavirus,,,NA,,Ngaingan hapavirus
Niakha virus,,,Niakha sripuvirus,,,NA,,Niakha sripuvirus
Night-heron coronavirus HKU19,,,Night heron coronavirus HKU19,,,NA,,Night heron coronavirus HKU19
Nipah virus,Nipah virus,Nipah henipavirus ,Nipah henipavirus,,,NA,,Nipah henipavirus
Northern cereal mosaic virus,,,Northern cereal mosaic cytorhabdovirus,,,NA,,Northern cereal mosaic cytorhabdovirus
Murine norovirus,,,Norwalk virus,Strain,"No match in ICTV taxonomy; Listed as a strain of Norovirus GV, which in turn is a strain/type of Norwalk virus",NA,,Norwalk virus
Murine norovirus,,,Norwalk virus,Strain,"No match in ICTV taxonomy; Listed as a strain of Norovirus GV, which in turn is a strain/type of Norwalk virus",NA,,Norwalk virus
Murine norovirus,,,Norwalk virus,Strain,"No match in ICTV taxonomy; Listed as a strain of Norovirus GV, which in turn is a strain/type of Norwalk virus",NA,,Norwalk virus
Norovirus GI,,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Norwalk virus
Norovirus GI,,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Norwalk virus
Norovirus GI,,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Norwalk virus
Norovirus GII,Swine norovirus,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Swine norovirus listed as a sub-strain of Norovirus GII on NCBI,NA,,Norwalk virus
Norovirus GII,Swine norovirus,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Swine norovirus listed as a sub-strain of Norovirus GII on NCBI,NA,,Norwalk virus
Norovirus GII,Swine norovirus,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Swine norovirus listed as a sub-strain of Norovirus GII on NCBI,NA,,Norwalk virus
Norovirus GIV.1,,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Norwalk virus
Norovirus GIV.1,,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Norwalk virus
Norovirus GIV.1,,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Norwalk virus
Norovirus GIV.2,,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Norwalk virus
Norovirus GIV.2,,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Norwalk virus
Norovirus GIV.2,,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Norwalk virus
Norovirus GV,Murine norovirus 1,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Murine norovirus 1listed as a sub-strain of Norovirus GV on NCBI,NA,,Norwalk virus
Norovirus GV,Murine norovirus 1,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Murine norovirus 1listed as a sub-strain of Norovirus GV on NCBI,NA,,Norwalk virus
Norovirus GV,Murine norovirus 1,,Norwalk virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Murine norovirus 1listed as a sub-strain of Norovirus GV on NCBI,NA,,Norwalk virus
Norovirus GIII,Bovine norovirus-Jena,,Norwalk virus,Strain; POSSIBLE DUPLICATE,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Bovine calcivirus jena listed a sub-strain/type of Norovirus GIII on NCBI,NA,,Norwalk virus
Norovirus GIII,Bovine norovirus-Jena,,Norwalk virus,Strain; POSSIBLE DUPLICATE,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Bovine calcivirus jena listed a sub-strain/type of Norovirus GIII on NCBI,NA,,Norwalk virus
Norovirus GIII,Bovine norovirus-Jena,,Norwalk virus,Strain; POSSIBLE DUPLICATE,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Bovine calcivirus jena listed a sub-strain/type of Norovirus GIII on NCBI,NA,,Norwalk virus
,Bovine enteric calicivirus strain NB,,Norwalk virus,Strain; POSSIBLE DUPLICATE,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Bovine enteric calicivirus listed a sub-strain/type of Norovirus GIII on NCBI,NA,,Norwalk virus
,Bovine enteric calicivirus strain NB,,Norwalk virus,Strain; POSSIBLE DUPLICATE,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Bovine enteric calicivirus listed a sub-strain/type of Norovirus GIII on NCBI,NA,,Norwalk virus
,Bovine enteric calicivirus strain NB,,Norwalk virus,Strain; POSSIBLE DUPLICATE,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy. Bovine enteric calicivirus listed a sub-strain/type of Norovirus GIII on NCBI,NA,,Norwalk virus
Norwalk virus,Norwalk virus,,Norwalk virus,,,TRUE,"Duplicate of strain Norovirus GII in Babayan data (Host group identical, K80 distance 0.0988) and Swine Norovirus in Olival data (only ‘Norwalk virus’ marked as infecting humans in Olival data, but this info will come from Woolhouse anyway)",Norwalk virus
Norwalk virus,Norwalk virus,,Norwalk virus,,,TRUE,"Duplicate of strain Norovirus GII in Babayan data (Host group identical, K80 distance 0.0988) and Swine Norovirus in Olival data (only ‘Norwalk virus’ marked as infecting humans in Olival data, but this info will come from Woolhouse anyway)",Norwalk virus
Norwalk virus,Norwalk virus,,Norwalk virus,,,TRUE,"Duplicate of strain Norovirus GII in Babayan data (Host group identical, K80 distance 0.0988) and Swine Norovirus in Olival data (only ‘Norwalk virus’ marked as infecting humans in Olival data, but this info will come from Woolhouse anyway)",Norwalk virus
,,Norwalk virus ,Norwalk virus,,,NA,,Norwalk virus
,,Norwalk virus ,Norwalk virus,,,NA,,Norwalk virus
,,Norwalk virus ,Norwalk virus,,,NA,,Norwalk virus
Ntaya virus,Ntaya virus,Ntaya virus,Ntaya virus,,,NA,,Ntaya virus
,Human papillomavirus 41,,Nupapillomavirus 1,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Nupapillomavirus 1
,Nyando virus,Nyando orthobunyavirus,Nyando orthobunyavirus,Automatic match,,NA,,Nyando orthobunyavirus
Obodhiang virus,,,Obodhiang ephemerovirus,,,NA,,Obodhiang ephemerovirus
,Oita virus,,Oita ledantevirus,Automatic match,,NA,,Oita ledantevirus
,Pampa virus,,Oliveros mammarenavirus,"Listed as unclassified on NCBI, but very similar to Oliveros virus (https://doi-org.ezproxy.lib.gla.ac.uk/10.1016/j.mib.2008.06.001)",,NA,,Oliveros mammarenavirus
Oliveros virus,Oliveros virus,,Oliveros mammarenavirus,,,NA,,Oliveros mammarenavirus
,Phocoena spinipinnis papillomavirus,,Omikronpapillomavirus 1,,,NA,,Omikronpapillomavirus 1
Omsk hemorrhagic fever virus,Omsk hemorrhagic fever virus,Omsk hemorrhagic fever virus ,Omsk hemorrhagic fever virus,,,NA,,Omsk hemorrhagic fever virus
O'nyong-nyong virus,O'nyong-nyong virus,O'nyong-nyong virus ,O'nyong-nyong virus,,,NA,,Onyong-nyong virus
,Orf virus,,Orf virus,Automatic match,,NA,,Orf virus
,Oriboca virus,Oriboca orthobunyavirus ,Oriboca orthobunyavirus,Automatic match,,NA,,Oriboca orthobunyavirus
Oropouche virus,Oropouche virus,Oropouche orthobunyavirus ,Oropouche orthobunyavirus,,,NA,,Oropouche orthobunyavirus
,Hepatitis E virus,Orthohepevirus A,Orthohepevirus A,Automatic match,"Olival data cannot be linked to individual strains, but all associations are based on antibodies anyway, so likely to be excluded later",NA,,Orthohepevirus A
,Hepatitis E virus,Orthohepevirus A,Orthohepevirus A,Automatic match,"Olival data cannot be linked to individual strains, but all associations are based on antibodies anyway, so likely to be excluded later",NA,,Orthohepevirus A
Ferret hepatitis E virus,,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
Ferret hepatitis E virus,,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
Hepatitis E virus,,,Orthohepevirus A,Strain,"Checked for duplication – in Babayan data, minimum K80 distance is 0.274",NA,,Orthohepevirus A
Hepatitis E virus,,,Orthohepevirus A,Strain,"Checked for duplication – in Babayan data, minimum K80 distance is 0.274",NA,,Orthohepevirus A
"Hepatitis E virus, GT1",,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
"Hepatitis E virus, GT1",,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
"Hepatitis E virus, GT2",,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
"Hepatitis E virus, GT2",,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
"Hepatitis E virus, GT3",,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
"Hepatitis E virus, GT3",,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
"Hepatitis E virus, GT4",,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
"Hepatitis E virus, GT4",,,Orthohepevirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus A
Avian hepatitis E virus,,,Orthohepevirus B,,,NA,,Orthohepevirus B
Hepatitis E virus rat,,,Orthohepevirus C,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Orthohepevirus C
Bat hepevirus,,,Orthohepevirus D,,No match in ICTV taxonomy; Sequence links to Orthohepevirus D on NCBI,NA,,Orthohepevirus D
,Orungo virus,Orungo virus ,Orungo virus,Automatic match,,NA,,Orungo virus
Oscivirus A1,,,Oscivirus A,,,NA,,Oscivirus A
,Ovine adenovirus D,,Ovine atadenovirus D,,,NA,,Ovine atadenovirus D
,Ovine herpesvirus 2,,Ovine gammaherpesvirus 2,,,NA,,Ovine gammaherpesvirus 2
,Ovine adenovirus A,,Ovine mastadenovirus A,,,NA,,Ovine mastadenovirus A
,Palyam virus,,Palyam virus,Automatic match,,NA,,Palyam virus
,Pongine herpesvirus 4,,Panine betaherpesvirus 2,,,NA,,Panine betaherpesvirus 2
,Pongine herpesvirus 1,,Panine gammaherpesvirus 1,,,NA,,Panine gammaherpesvirus 1
,Cercopithecine herpesvirus 16,,Papiine alphaherpesvirus 2,,,NA,,Papiine alphaherpesvirus 2
,Cercopithecine herpesvirus 12,,Papiine gammaherpesvirus 1,,,NA,,Papiine gammaherpesvirus 1
Parana virus,Parana virus,,Paraná mammarenavirus,,,NA,,Paraguayan mammarenavirus
,Parapoxvirus of red deer in New Zealand,,Parapoxvirus of red deer in New Zealand,Automatic match,,NA,,Parapoxvirus of red deer in New Zealand
,Human parechovirus,Parechovirus A,Parechovirus A,,,NA,,Parechovirus A
,Ljungan virus,Parechovirus B,Parechovirus B,,,NA,,Parechovirus B
,Patois virus,Patois orthobunyavirus,Patois orthobunyavirus,Automatic match,,NA,,Patois orthobunyavirus
Simian pegivirus,,,Pegivirus A,Strain,Simian pegivirus: no match in ICTV taxonomy; listed as a strain on NCBI taxonomy.  ,NA,,Pegivirus A
Simian pegivirus,,,Pegivirus A,Strain,Simian pegivirus: no match in ICTV taxonomy; listed as a strain on NCBI taxonomy.  ,NA,,Pegivirus A
Pegivirus A,,,Pegivirus A,Strain,Checked for duplication – K80 distance from other strain is 0.667,NA,,Pegivirus A
Pegivirus A,,,Pegivirus A,Strain,Checked for duplication – K80 distance from other strain is 0.667,NA,,Pegivirus A
,GB virus A,Pegivirus A,Pegivirus A,,"GB virus A: listed as abolished in 2005 on ICTV, but as a type/strain of Pegivirus A (which is still recognized) on NCBI.",NA,,Pegivirus A
,GB virus A,Pegivirus A,Pegivirus A,,"GB virus A: listed as abolished in 2005 on ICTV, but as a type/strain of Pegivirus A (which is still recognized) on NCBI.",NA,,Pegivirus A
GB virus C,GB virus C,,Pegivirus C,,"Listed as abolished in 2005 on ICTV, but listed as a type/strain on NCBI; ICTV document in which Pegivirus C was created lists a GBV-C isolate as a representative isolate (https://data.ictvonline.org/proposals/2016.013aS.A.v1.Pegivirus_9sp.pdf)",NA,,Pegivirus C
Equine pegivirus 1,,,Pegivirus E,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Pegivirus E
Human pegivirus 2,,,Pegivirus H,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Pegivirus H
Perch rhabdovirus,,,Perch perhabdovirus,,,NA,,Perch perhabdovirus
Perinet virus,,,Perinet vesiculovirus,,,NA,,Perinet vesiculovirus
,Peruvian horse sickness virus,,Peruvian horse sickness virus,Automatic match,,NA,,Peruvian horse sickness virus
Bovine viral diarrhea virus 1,Bovine viral diarrhea virus 1,Bovine viral diarrhea virus 1,Bovine viral diarrhea virus 1,,,NA,,Pestivirus A
Bovine viral diarrhea virus 2,Bovine viral diarrhea virus 2,,Bovine viral diarrhea virus 2,,,NA,,Pestivirus B
Classical swine fever virus,Classical swine fever virus,,Classical swine fever virus,,,NA,,Pestivirus C
Border disease virus,Border disease virus,,Border disease virus,,,NA,,Pestivirus D
Pronghorn antelope pestivirus,,,Pronghorn antelope pestivirus,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,Pestivirus E
Porcine pestivirus isolate Bungowannah,,,Porcine pestivirus isolate Bungowannah,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,Pestivirus F
Bovine viral diarrhea virus 3,,,Bovine viral diarrhea virus 3,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,Pestivirus H
Pestivirus Burdur,,,Aydin virus,Unclassified; Strain,"No match in ICTV taxonomy; Listed as a strain of 'Aydin virus' on NCBI, which in turn is listed as unclassified",NA,,Pestivirus I
Pestivirus strain Aydin/04-TR,,,Aydin virus,Unclassified; Strain,"No match in ICTV taxonomy; Listed as a strain of 'Aydin virus' on NCBI, which in turn is listed as unclassified",NA,,Pestivirus I
,Phnom Penh bat virus,,Phnom Penh bat virus,Automatic match,,NA,,Phnom Penh bat virus
,Phocid herpesvirus 1,,Phocid alphaherpesvirus 1,,,NA,,Phocid alphaherpesvirus 1
Phocine distemper virus,Phocine distemper virus,,Phocine morbillivirus,,,NA,,Phocine morbillivirus
Grass carp rhabdovirus V76,,,Pike fry sprivivirus,Strain,No match in ICTV taxonomy; Listed as strain/isolate on NCBI,NA,,Pike fry sprivivirus
Tench rhabdovirus S64,,,Pike fry sprivivirus,Strain,No match in ICTV taxonomy; Listed as strain/isolate on NCBI,NA,,Pike fry sprivivirus
Pike fry rhabdovirus,,,Pike fry sprivivirus,,,NA,,Pike fry sprivivirus
,Hamster oral papillomavirus,,Pipapillomavirus 1,,,NA,,Pipapillomavirus 1
Bat coronavirus HKU5,,,Pipistrellus bat coronavirus HKU5,,Source sp. verified in source data,NA,,Pipistrellus bat coronavirus HKU5
Pirital virus,Pirital virus,,Pirital mammarenavirus,,,NA,,Pirital mammarenavirus
,Piry virus,Piry vesiculovirus ,Piry vesiculovirus,Automatic match,,NA,,Piry vesiculovirus
Cutthroat trout virus,,,Piscihepevirus A,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Piscihepevirus A
Viral hemorrhagic septicemia virus,,,Piscine novirhabdovirus,,,NA,,Piscine novirhabdovirus
,Pixuna virus,Pixuna virus ,Pixuna virus,Automatic match,,NA,,Pixuna virus
,Pongine herpesvirus 2,,Pongine gammaherpesvirus 2,,,NA,,Pongine gammaherpesvirus 2
,Porcine circovirus-1,,Porcine circovirus 1,,,NA,,Porcine circovirus 1
,Porcine circovirus-2,,Porcine circovirus 2,,,NA,,Porcine circovirus 2
Porcine epidemic diarrhea virus,Porcine epidemic diarrhea virus,,Porcine epidemic diarrhea virus,,,NA,,Porcine epidemic diarrhea virus
,Porcine adenovirus A,,Porcine mastadenovirus A,,,NA,,Porcine mastadenovirus A
,Porcine adenovirus B,,Porcine mastadenovirus B,,,NA,,Porcine mastadenovirus B
,Porcine adenovirus C,,Porcine mastadenovirus C,,,NA,,Porcine mastadenovirus C
Porcine parainfluenza virus 1,,,Porcine respirovirus 1,,,NA,,Porcine respirovirus 1
Porcine torovirus,Porcine torovirus,,Porcine torovirus,,,NA,,Porcine torovirus
,Porcine type-C oncovirus,,Porcine type-C oncovirus,Automatic match,,NA,,Porcine type-C oncovirus
,Possum adenovirus,,Possum atadenovirus A,,,NA,,Possum atadenovirus A
Potato yellow dwarf virus,,,Potato yellow dwarf nucleorhabdovirus,,,NA,,Potato yellow dwarf nucleorhabdovirus
Powassan virus,Powassan virus,Powassan virus ,Powassan virus,,,NA,,Powassan virus
,Human parvovirus B19,,Primate erythroparvovirus 1,,,NA,,Primate erythroparvovirus 1
,Simian parvovirus,,Primate erythroparvovirus 2,,,NA,,Primate erythroparvovirus 2
,Rhesus macaque parvovirus,,Primate erythroparvovirus 3,,,NA,,Primate erythroparvovirus 3
,Pig-tailed macaque parvovirus,,Primate erythroparvovirus 4,,,NA,,Primate erythroparvovirus 4
,Primate T-lymphotropic virus 1,Primate T-lymphotropic virus 1 ,Primate T-lymphotropic virus 1,Automatic match,,NA,,Primate T-lymphotropic virus 1
,Primate T-lymphotropic virus 2,Primate T-lymphotropic virus 2 ,Primate T-lymphotropic virus 2,Automatic match,,NA,,Primate T-lymphotropic virus 2
,Primate T-lymphotropic virus 3,Primate T-lymphotropic virus 3,Primate T-lymphotropic virus 3,Automatic match,,NA,,Primate T-lymphotropic virus 3
,Prospect Hill virus,,Prospect Hill orthohantavirus,Automatic match,,NA,,Prospect Hill orthohantavirus
,Pseudocowpox virus,,Pseudocowpox virus,Automatic match,,NA,,Pseudocowpox virus
Puerto Almendras virus,,,Puerto Almendras almendravirus,,,NA,,Puerto Almendras almendravirus
,Puma lentivirus,,Puma lentivirus,Automatic match,,NA,,Puma lentivirus
,Punta Toro virus,Punta Toro phlebovirus ,Punta Toro phlebovirus,Automatic match,,NA,,Punta Toro phlebovirus
Puumala virus,Puumala virus,Puumala orthohantavirus ,Puumala orthohantavirus,,,NA,,Puumala orthohantavirus
,Qalyub virus,,Qalyub orthonairovirus,Automatic match,,NA,,Qalyub orthonairovirus
,Quaranfil virus,,Quaranfil virus,Automatic match,,NA,,Quaranfil quaranjavirus
,Rabbit fibroma virus,,Rabbit fibroma virus,Automatic match,,NA,,Rabbit fibroma virus
Rabbit calicivirus,,,Rabbit hemorrhagic disease virus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI,NA,,Rabbit hemorrhagic disease virus
Rabbit hemorrhagic disease virus,,,Rabbit hemorrhagic disease virus,,Checked for duplication – K80 distance from Rabbit calcivirus is 0.259,NA,,Rabbit hemorrhagic disease virus
,Rabbit hemorrhagic disease virus,,Rabbit hemorrhagic disease virus,,,NA,,Rabbit hemorrhagic disease virus
,Rabies virus,Rabies lyssavirus,Rabies lyssavirus,Automatic match,,NA,,Rabies lyssavirus
"Rabies virus isolate 13N0473AFX, complete genome.",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
"Rabies virus isolate A10-0512, complete genome.",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
"Rabies virus isolate CASK2, complete genome.",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
"Rabies virus isolate IP 7841/09, complete genome.",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
"Rabies virus isolate NC1234, complete genome.",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
"Rabies virus isolate R2013-01, complete genome.",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
"Rabies virus isolate RAC, complete genome.",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
"Rabies virus isolate RV2772, complete genome.",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
"Rabies virus isolate RV437, complete genome.",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
"Rabies virus strain 148/lib01041, complete genome",,,Rabies lyssavirus,Strain,,NA,,Rabies lyssavirus
,Racoonpox virus,,Raccoonpox virus,,,NA,,Raccoonpox virus
Sunshine virus,,,Reptile sunshinevirus 1,,No match in ICTV taxonomy; Listed as a type on NCBI,NA,,Reptile sunshinevirus 1
Fer-de-Lance paramyxovirus,,,Reptilian ferlavirus,,,NA,,Reptilian ferlavirus
Reston ebolavirus,Reston ebolavirus,Reston ebolavirus ,Reston ebolavirus,,,NA,,Reston ebolavirus
,Macaque simian foamy virus,Macaque simian foamy virus,Macaque simian foamy virus,Automatic match,,NA,,Rhesus macaque simian foamy virus
Rhinolophus bat coronavirus HKU2,,,Rhinolophus bat coronavirus HKU2,,,NA,,Rhinolophus bat coronavirus HKU2
Rhinovirus A,Human rhinovirus A,Rhinovirus A,Rhinovirus A,,,NA,,Rhinovirus A
Human rhinovirus B52,Human rhinovirus B,Rhinovirus B,Rhinovirus B,,Human rhinovirus B52: No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Rhinovirus B
Rhinovirus C,,Rhinovirus C,Rhinovirus C,,,NA,,Rhinovirus C
Rice yellow stunt virus,,,Rice yellow stunt nucleorhabdovirus,,,NA,,Rice yellow stunt nucleorhabdovirus
Rift Valley fever virus,Rift Valley fever virus,Rift Valley fever phlebovirus ,Rift Valley fever phlebovirus,,,NA,,Rift Valley fever phlebovirus
Rinderpest virus,Rinderpest virus,,Rinderpest morbillivirus,,,NA,,Rinderpest morbillivirus
Rio Bravo virus,Rio Bravo virus,Rio Bravo virus ,Rio Bravo virus,,,NA,,Rio Bravo virus
,Rio Negro virus,Rio Negro virus,Rio Negro virus,Automatic match,,NA,,Rio Negro virus
,Chipmunk parvovirus,,Rodent erythroparvovirus 1,,No match on ICTV; Listed as a type/strain on NCBI,NA,,Rodent erythroparvovirus 1
,Hamster parvovirus,,Rodent protoparvovirus 1,Duplicate,"No match in ICTV, and unclassified on NCBI. However, a recent study showed it to be nearly identical to Mouse parvovirus 3: https://dx.doi.org/10.1099/vir.0.81547-0",NA,,Rodent protoparvovirus 1
,Rat minute virus 1,,Rodent protoparvovirus 1,Duplicate,"Unclassified on NCBI, but BLAST searches match it to Rodent protoparvovirus 1 (confirmed by https://doi.org/10.1007/s00705-013-1914-1)",NA,,Rodent protoparvovirus 1
,H-1 parvovirus,,Rodent protoparvovirus 1,Merged,,NA,,Rodent protoparvovirus 1
,Kilham rat virus,,Rodent protoparvovirus 1,Merged,,NA,,Rodent protoparvovirus 1
,Minute virus of mice,,Rodent protoparvovirus 1,Merged,,NA,,Rodent protoparvovirus 1
,Mouse parvovirus 1,,Rodent protoparvovirus 1,Merged,,NA,,Rodent protoparvovirus 1
,Rat parvovirus 1,,Rodent protoparvovirus 2,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Rodent protoparvovirus 2
Sagiyama virus,,,Ross River virus,Merged,Checked for duplication – data differs,NA,,Ross River virus
Sagiyama virus,,,Ross River virus,Merged,Checked for duplication – data differs,NA,,Ross River virus
Ross River virus,,,Ross River virus,Merged,Checked for duplication – data differs,NA,,Ross River virus
Ross River virus,,,Ross River virus,Merged,Checked for duplication – data differs,NA,,Ross River virus
,Ross River virus,Ross River virus ,Ross River virus,,,NA,,Ross River virus
,Ross River virus,Ross River virus ,Ross River virus,,,NA,,Ross River virus
,Rotavirus A,Rotavirus A ,Rotavirus A,Automatic match,,NA,,Rotavirus A
,Rotavirus A,Rotavirus A ,Rotavirus A,Automatic match,,NA,,Rotavirus A
,Rotavirus A,Rotavirus A ,Rotavirus A,Automatic match,,NA,,Rotavirus A
,Rotavirus B,Rotavirus B ,Rotavirus B,Automatic match,,NA,,Rotavirus B
,Rotavirus C,Rotavirus C ,Rotavirus C,Automatic match,,NA,,Rotavirus C
,Rotavirus E,,Rotavirus E,Automatic match,,NA,,Rotavirus E
,,Rotavirus H,Rotavirus H,Automatic match,,NA,,Rotavirus H
CAS virus,,,Alethinophid 3 reptarenavirus,,No match in ICTV taxonomy; Strain of Alethinophid 3 reptarenavirus on NCBI taxonomy,NA,,Rotterdam reptarenavirus
Bat coronavirus HKU9,,,Rousettus bat coronavirus HKU9,,Source sp. verified in source data,NA,,Rousettus bat coronavirus HKU9
Karshi virus,,,Royal Farm virus,Merged,Merged with Royal Farm virus,NA,,Royal Farm virus
Royal Farm virus,,,Royal Farm virus,Merged,,NA,,Royal Farm virus
Rubella virus,Rubella virus,Rubella virus ,Rubella virus,,,NA,,Rubella virus
,Saboya virus,,Saboya virus,Automatic match,,NA,,Saboya virus
,Callitrichine herpesvirus 1,,Saguinine gammaherpesvirus 1,,,NA,,Saguinine gammaherpesvirus 1
